id,owner,name,pipeline_tag,tags,hf_url,source_query,why_included,base_id_guess,reg_scopes,cv_ocr_flag,cluster_id,interaction_mode_prefill,lifecycle_primary_prefill,evidence_traceability_prefill,autonomy_level_prefill,family,superfamily,instruct_like,app_filter_decision
AndreaSimeri/LegalBERT_GDPR,AndreaSimeri,LegalBERT_GDPR,text-classification,"[""transformers"", ""pytorch"", ""bert"", ""text-classification"", ""deep learning"", ""law article retrieval"", ""natural language processing"", ""BERT"", ""information retrieval"", ""legal ai"", ""legal bert"", ""gdpr"", ""general data protection regulation"", ""en"", ""license:cc-by-nc-nd-4.0"", ""autotrain_compatible"", ""endpoints_compatible"", ""region:us""]",https://huggingface.co/AndreaSimeri/LegalBERT_GDPR,GDPR,strong-signal query hit,AndreaSimeri/LegalBERT_GDPR,GDPR,FALSE,AndreaSimeri/LegalBERT_GDPR,rag,unknown,none_or_unknown,L1,andreasimeri/legalbert/gdpr,andreasimeri/legalbert/gdpr,FALSE,keep_canonical_no_instruct_available
ARI-HIPA-AI-Team/HIPA-AI_Model,ARI-HIPA-AI-Team,HIPA-AI_Model,text-classification,"[""keras"", ""healthcare"", ""HIPAA"", ""federal_regulations"", ""text-classification"", ""en"", ""dataset:ARI-HIPA-AI-Team/Dataset"", ""license:apache-2.0"", ""region:us""]",https://huggingface.co/ARI-HIPA-AI-Team/HIPA-AI_Model,HIPAA,strong-signal query hit,ARI-HIPA-AI-Team/HIPA-AI_Model,HIPAA,FALSE,ARI-HIPA-AI-Team/HIPA-AI_Model,rag,unknown,regulatory_citation,L1,ari/hipa/ai/team/hipa/ai/model,ari/hipa/ai/team/hipa/ai/model,FALSE,keep_canonical_no_instruct_available
barek2k2/bert_hipaa_sensitive_db_schema,barek2k2,bert_hipaa_sensitive_db_schema,text-classification,"[""transformers"", ""safetensors"", ""bert"", ""text-classification"", ""BERT"", ""HIPAA"", ""PHI"", ""LLM"", ""sensitive data"", ""classification"", ""healthcare"", ""mHealth Application"", ""cybersecurity"", ""database"", ""column name classifier"", ""data field classifier"", ""huggingface"", ""en"", ""license:mit"", ""autotrain_compatible"", ""endpoints_compatible"", ""region:us""]",https://huggingface.co/barek2k2/bert_hipaa_sensitive_db_schema,HIPAA,strong-signal query hit,barek2k2/bert_hipaa_sensitive_db_schema,HIPAA,FALSE,barek2k2/bert_hipaa_sensitive_db_schema,standard,requirements,regulatory_citation,L0,barek2k2/bert/hipaa/sensitive/db/schema,barek2k2/bert/hipaa/sensitive/db/schema,FALSE,keep_canonical_no_instruct_available
cycloevan/gdpr_gemma-2-2b,cycloevan,gdpr_gemma-2-2b,,"[""safetensors"", ""gemma2"", ""gemma"", ""gdpr"", ""compliance"", ""dpo"", ""en"", ""dataset:sims2k/GDPR_QA_instruct_dataset"", ""license:apache-2.0"", ""region:us""]",https://huggingface.co/cycloevan/gdpr_gemma-2-2b,GDPR,strong-signal query hit,cycloevan/gdpr_gemma-2-2b,GDPR,FALSE,cycloevan/gdpr_gemma-2-2b,standard,unknown,policy_citation,L0,cycloevan/gdpr/gemma/2/2b,cycloevan/gdpr/gemma/2/2b,TRUE,keep_instruct_canonical
JQ1984/legalbert_gdpr_pretrained,JQ1984,legalbert_gdpr_pretrained,question-answering,"[""safetensors"", ""bert"", ""legal"", ""question-answering"", ""en"", ""dataset:JQ1984/GDPRcasedata"", ""base_model:nlpaueb/legal-bert-base-uncased"", ""base_model:finetune:nlpaueb/legal-bert-base-uncased"", ""doi:10.57967/hf/5396"", ""license:cc-by-nc-4.0"", ""region:us""]",https://huggingface.co/JQ1984/legalbert_gdpr_pretrained,GDPR,strong-signal query hit,JQ1984/legalbert_gdpr_pretrained,GDPR,FALSE,JQ1984/legalbert_gdpr_pretrained,standard,unknown,policy_citation,L0,jq1984/legalbert/gdpr/pretrained,jq1984/legalbert/gdpr/pretrained,FALSE,keep_canonical_no_instruct_available
JQ1984/violation_result_GDPR_prediction,JQ1984,violation_result_GDPR_prediction,text-classification,"[""safetensors"", ""bert"", ""legal"", ""text-classification"", ""en"", ""dataset:JQ1984/GDPRcasedata"", ""base_model:JQ1984/legalbert_gdpr_pretrained"", ""base_model:finetune:JQ1984/legalbert_gdpr_pretrained"", ""license:cc-by-sa-4.0"", ""region:us""]",https://huggingface.co/JQ1984/violation_result_GDPR_prediction,GDPR,strong-signal query hit,JQ1984/violation_result_GDPR_prediction,GDPR,FALSE,JQ1984/violation_result_GDPR_prediction,rag,unknown,regulatory_citation,L1,jq1984/violation/result/gdpr/prediction,jq1984/violation/result/gdpr/prediction,FALSE,keep_canonical_no_instruct_available
metricspace/GDPR_Input_Detection_and_Anonymization_0.5B,metricspace,GDPR_Input_Detection_and_Anonymization_0.5B,,"[""safetensors"", ""qwen2"", ""license:apache-2.0"", ""region:us""]",https://huggingface.co/metricspace/GDPR_Input_Detection_and_Anonymization_0.5B,GDPR,strong-signal query hit,metricspace/GDPR_Input_Detection_and_Anonymization_0.5B,GDPR,FALSE,metricspace/GDPR_Input_Detection_and_Anonymization_0.5B,rag,audit_report,none_or_unknown,L1,metricspace/gdpr/input/detection/and/anonymization/0/5b,metricspace/gdpr/input/detection/and/anonymization/0/5b,FALSE,keep_canonical_no_instruct_available
mradermacher/Llama3.1-GDPR-Instruct-GGUF,mradermacher,Llama3.1-GDPR-Instruct-GGUF,,"[""transformers"", ""gguf"", ""en"", ""base_model:alvwjy/Llama3.1-GDPR-Instruct"", ""base_model:quantized:alvwjy/Llama3.1-GDPR-Instruct"", ""endpoints_compatible"", ""region:us"", ""conversational""]",https://huggingface.co/mradermacher/Llama3.1-GDPR-Instruct-GGUF,GDPR,strong-signal query hit,mradermacher/Llama3.1-GDPR-Instruct,GDPR,FALSE,mradermacher/Llama3.1-GDPR-Instruct,standard,unknown,none_or_unknown,L0,mradermacher/llama3/1/gdpr/instruct,mradermacher/llama3/1/gdpr,TRUE,keep_instruct_canonical
not-lain/soc2,not-lain,soc2,,"[""transformers"", ""gguf"", ""mistral"", ""text-generation-inference"", ""unsloth"", ""en"", ""base_model:unsloth/mistral-7b-v0.3-bnb-4bit"", ""base_model:quantized:unsloth/mistral-7b-v0.3-bnb-4bit"", ""license:apache-2.0"", ""endpoints_compatible"", ""region:us""]",https://huggingface.co/not-lain/soc2,SOC 2,strong-signal query hit,not-lain/soc2,SOC 2,FALSE,not-lain/soc2,standard,unknown,none_or_unknown,L0,not/lain/soc2,not/lain/soc2,FALSE,keep_canonical_no_instruct_available
PaDaS-Lab/gdpr-privacy-policy-ner,PaDaS-Lab,gdpr-privacy-policy-ner,token-classification,"[""transformers"", ""pytorch"", ""tf"", ""safetensors"", ""bert"", ""token-classification"", ""license:mit"", ""autotrain_compatible"", ""endpoints_compatible"", ""region:us""]",https://huggingface.co/PaDaS-Lab/gdpr-privacy-policy-ner,GDPR,strong-signal query hit,PaDaS-Lab/gdpr-privacy-policy-ner,GDPR,FALSE,PaDaS-Lab/gdpr-privacy-policy-ner,standard,unknown,regulatory_citation,L0,padas/lab/gdpr/privacy/policy/ner,padas/lab/gdpr/privacy/policy/ner,FALSE,keep_canonical_no_instruct_available
